author	comment
@OliviaSmithR	 @RichardWalls  thank you!
@katehillier1027	Surveillance DIY education no lecturers, just DIY from lectures. Plenty of top quality lectures from top class universities on YouTube.
@brozkeeper	Thank you sir. I've enjoyed watching your review. God bless
@Btheonly33	So glad I read the comments and didn't blindly' listen to this dude because he seems nice ,  55 a month or 399 upfront which is never a deal like they try to sell it when you have other bills. And the things they reward you MAY change the game but not by a big margin unless I stay for months 
@AmpDad87	I’m debating on taking courses has anyone taken any and have been able to advance in their careers?  Has your employers or others recognized the education from Coursera
@Claasic	I was working 9$ front desk gym , Coursera courses saved me now I’m building a data center
@LilGamingChannel	well put video, thanks!
@nidasyed7114	Hi, i just wanna know is it like online class or they have videos so that we can watch and learn anytime.. please do reply much needed
@TotalRookie_LV	"Tried one course - Python programming basics. It was a lot of ""water"" in what seemed to be like an intro to an actual course, but then there was a ""test"", which one had to pass to get further. I was extremely frustrated to put it mildly, seems like the aim of such ""test"" is not to test ones knowledge, but with how much BS one is willing to put up with.\nUser interface isn't brilliant either - here on YouTube you can use fast backward and forward, if you missed something, on Coursera it just isn't there. I don't remember anymore, what other issues with UI there was, but I recall myself thinking how ironic it is to have those for a site, which claims to teach web design and programming skills."
@ed1019-h8o	Course content excellent but very limited support resources ie no in person chats spend so much time trying to find out how to find a template needed to complete peer reviewed exercises ect.. overall the course organization can be poor but the content I have found to be exceptional.
@stingyblue8189	What do you think about Forage’s courses for college students trying to figure out a career path and how does it compare to Coursera?
@bilalqasmi9907	I'm an Electrical and Electronics Engineer. I want to persue career in Cyber Security of Microsoft Certification. What will be the cost all in all? I've researched and found out $49/month. How it'll be calculated if I finish in 3 months or in 6 months?
@FrancisDumagat-bo2uj	Great value!
@i-xanity-i5136	As a person with no degree but interested in cyber security, would completing cyber security related certificates/courses allow me to step into the job field on a mid-high skill level?
@unknownzzz2200	I’m on the same thing
@lih1352	Wondering too. My husband believes some videos encouraging to obtain a cyber security certificate claiming you'll be making six figures to start...I say highly unlikely but would like opinions
@torreto5391	my question abou the certificates is are they considered as real ones in the job market or just a self development thing you can use to just boost your chance a bit?
@torreto5391	 @RichardWalls  thank you! I appreciate the honesty man. You get a subscribe for that🫡
@Btheonly33	 @torreto5391  wouldn't say full honesty I'm waiting for him to talk about how they sell it as free but you can't get any certificates In the trial version.
@omaymaajouamai5631	I would really like to know if you think it'll be possible to get into the job field of management using Coursera content, knowing that I have no degree. Thank youuu
@BCM222	"Can one put these on a resume and get a job for example Comptia + and Security + certs and get a job are they accepted by most employers or are these ""decorative wallpaper"" like a continuation learning which is nice and all lets employers know you seek improvement."
@biggboi1025	You have to sell yourself in the interview. Mention to the hiring manager all the skills you learned, and even get technical with it.\n\nUltimately, employers don't care about school. Just that you know how to do their job.
@Loofy101	Bruh. Why is the video slowed down. You don't sound normal unless at 1.25x or higher.
@shahaijaz6576	What if we complete the 4 week specialisation in only one week. Can we download the certificate only after 1 week? Or do we have to wait for 4 weeks?
@shahaijaz6576	 @RichardWalls  Thankyou for answering my query. ️️️
@ambinicole5159	Appreciate the content.
@ShawnMKouri	Do they have due dates on the NBA courses for assignments? I’m at a community college and the professors set due dates for assignments. And sometimes we get 1 to 2 chapters per week. Well, really an average of one chapter. Plus of midterm if that happens depending on the professor and sometimes on rarer cases a final exam. What is Coursera like?
@katbutnohat_	I just did Microsoft Azure Fundamentals and it was riddled with problems. \nBroken links to Azure sandbox environments, steps that mention non-existent settings, or are in a different place now, inconsistent video player functionality from lesson to lesson - some fullscreen, some don't, some you can change speed, some you can't. And mid video tests that cut the presenter off mid-sentence and pop up before the fact have been taught. The whole experience was infuriating. Are their other courses falling out of sync like this, or was this just really bad luck?
@CareerXskills	Love to do courses on Coursera. #CareerXskills
@ARMANDOAF17	Has anyone had luck landing a job with no college or experience in the tech field? Ask because I’m looking for a change in career.
@dennissakala1027	Never heard of this... Please how do I learn more.. in Africa Zambabwe and I want inn
@theresakidd	Debating whether or not I want start using coursera.
@yasminee52	Start éducation is always a good idea
@leonkabo	Wow, thanks bro!
@slowmotion1104	So there’s no professor? Everyone grades each others work?
@katehillier1027	I might have guessed YouTube would put a coursera thumbs up to feed its data scrounging operations.
@noodles8951	I badly wanted to take a course but i don't have a laptop. I wish it could be available on just a phone.
@vijayrao5441	1. does it has weight in the course, 2-- will they help us get job, 3 how will be course conduct via zoom link, 4-- what type of job will i get, 5 after completing do we get job anywhere --   Salary how much i get ?\nthank u
@TR-vh1fi	 @RichardWalls  :)
@Moodboard39	No, is just a certificate. You add that into your resume and hunt for jobs lol duhh!! Good luck, because it's competitive as well . \n\nYou gotta have experience. Entry level , with low pay .
@richardcontell1314	Hi Richard, \nOne question: If I complete for example a financial accounting certificate from Penn University, do I get the certificate from Penn University or from Coursera?\nThanks
@richardcontell1314	 @RichardWalls  Thanks, but will the certificate show I completed the course from Penn University?
@ariadnabeneventi7343	 @richardcontell1314  yup, but it does not counts as a Credit, unless the course says so. I did a course from yale about psych and it has the yale logo and the coursera as well. It says you completed a xourse from that uni from coursera, your name and the teachers signature
@diceflawless9115	Is it self paced classes or do they have actual online class rooms?
@itsoyadoyinpalace6278	I’m in college for bachelors in cyber security, but I want to do IT or project management while still in college  in coursera would that make sense? Or be worth it ?
@techworld2977	Very helpful. Thank you!!
@Gabsengeii	I just started my first class. 
@heavyhertz1343	How's it going? Which class?
@heavyhertz1343	Which Course?*
@zachmcdougal4226	I'm actually looking at starting cyber secruity.  Are there any timed sections like quizzes or tests?
@prof.dr.sabrinr.m.ibrahim462	I tried to access coursera, but they give me only 7 day free trial. Can anyone say to me how I got the courses for free, please
@aminshafiq2576	Thanks for the insights!!
@MichaelWilliams-lo3ix	Thanks for this
@xolilemoyeni1241	2 Courses so far. 
@hosseinyazdani3731	Sir, I've a question\nIs this course for the people who are small and they don't graduated of school?
@simonlinser8286	i can't believe the amount of courses you guys are saying you take. is this average? is this necessary to remain competitive for your fields? i often try to learn things on my own, but i haven't been able to use one of these services. i would like to bring myself to the level that i have real certifications or other things i can use to get a job. but sometimes i wonder if it's worth it or that what really  counts is real experience. is it possible to move into a new career with one of these certificates? is this similar to actual college courses? the price is not extremely cheap and i wouldn't expect it to be if this is legit, but i don't even have a computer set up at the moment and i question whether or not it will be worth it in the long run.
@VivekSingh-ik5tv	It is not just about certifications but also knowledge delivered in a structured and bit sized manner which sticks with you if you do the courses correctly and with patience. Certifications are the proof that yes you have the drive to upskill yourself in the field of your interest. It shows your own drive to improve yourself to be a better version of you.
@josemendozajr5345	It’s 50 bucks a month
@Rex88282	I’ve learned UI/ UX alone without courses in 1 month ! Only Google .
@shawnchristophermalig4339	Hi, Rich! If ever I want to enroll myself to this program, it'll take 4 years, right? And will there be payment in case I want it to be credited as a degree diploma? Does coursera credit my finished 1st year, like that?\n\nA response from you will be sooo helpful!
@SamMponda-j1k	What if u take professional degree.. would you still pay after completion????
@aroldomacario3103	Question how about 41 dollars subscription I really don’t see how can I get the MBA program
@missnataliia9587	Do you know any details how to get in touch with workers there? Cuz I’ve completed the course, but can’t get a certificate… \nThanks for your reply in advance)
@raaidshaikh5761	Hi Richard, I was planning on doing a course related to AI specialized in Business on coursera. Is there anything you can help me out with regarding this course?\nLike any kind of suggestions that could help me out with this course later in the coming future
